Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality,Area_in_Gaj
856,2 BHK Apartment,From Nov '19,Family,2,1200 sqft,24000,kondapur,133.33333333333334
861,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1750 sqft,17000,madinaguda hafeezpet nh,194.44444444444446
862,2 BHK Apartment,1,Semi-Furnished,Family,1000 sqft,18000,venkata ramana colony nagole,111.11111111111111
863,3 BHK Apartment,2,Unfurnished,Bachelors,1980 sqft,32000,kondapur,220.0
865,2 BHK Apartment,3,Semi-Furnished,Bachelors/Family,900 sqft,16500,begumpet,100.0
868,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1008 sqft,10000,upparpally hyderabad expressway,112.0
869,2 BHK Apartment,1,Furnished,Family,1200 sqft,26000,srinija gayatri hills gachibowli outer ring road,133.33333333333334
870,3 BHK Apartment,1,Semi-Furnished,Bachelors,1350 sqft,15000,nizampet,150.0
871,2 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1000 sqft,11000,the legend vittalwadi narayanguda,111.11111111111111
872,2 BHK Builder Floor,2,Furnished,Bachelors/Family,1200 sqft,30000,p janardhan reddy nagar gachibowli outer ring road,133.33333333333334
874,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1710 sqft,30000,saptagiri colony kukatpally nh,190.0
875,2 BHK Builder Floor,1,Unfurnished,Bachelors,1000 sqft,11000,lb nagar nh,111.11111111111111
876,3 BHK Apartment,,Bachelors/Family,2,1250 sqft,23000,kukatpally nh,138.88888888888889
877,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1314 sqft,30000,my home avatar narsingi outer ring road,146.0
878,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1050 sqft,15000,masab tank,116.66666666666667
879,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,18000,nizampet,133.33333333333334
880,2 BHK Apartment,1,Unfurnished,Bachelors,1200 sqft,12000,rajiv gandhi nagar colony nizampet,133.33333333333334
881,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1050 sqft,14000,gandhi nagar kavadiguda nh,116.66666666666667
884,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1680 sqft,21000,narsingi outer ring road,186.66666666666666
885,2 BHK Penthouse,1,Unfurnished,Bachelors/Family,135 sqyrd,8000,hyderabad,135.0
886,2 BHK Apartment,3,Semi-Furnished,Family,2000 sqft,15000,lb nagar nh,222.22222222222223
887,3 BHK Builder Floor,2,Furnished,Bachelors/Family,1900 sqft,25000,punjagutta nh,211.11111111111111
888,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1000 sqft,10000,syed nagar,111.11111111111111
889,2 BHK Apartment,3,Unfurnished,Bachelors/Family,1300 sqft,15000,hyderagudaattapur,144.44444444444446
890,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1160 sqft,12000,gajularamara,128.88888888888889
891,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1500 sqft,26000,sri nagar colony,166.66666666666666
892,2 BHK Apartment,2,Unfurnished,Bachelors,1250 sqft,7000,ramakrishnapuramneredmet,138.88888888888889
893,2 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1250 sqft,22000,srinija gayatri hills gachibowli outer ring road,138.88888888888889
894,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1160 sqft,12000,dilsukh nagar nh,128.88888888888889
895,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1100 sqft,9000,alwal,122.22222222222223
896,2 BHK Apartment,2,Semi-Furnished,Family,960 sqft,9000,sri vasavi siva nagar colony secunderabad,106.66666666666667
897,2 BHK Apartment,1,Unfurnished,Bachelors/Family,900 sqft,5000,maruthi nagar,100.0
898,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1650 sqft,19500,attapur,183.33333333333334
899,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2000 sqft,15000,ecil,222.22222222222223
900,2 BHK Apartment,1,Semi-Furnished,Family,1400 sqft,25000,manikonda outer ring road,155.55555555555554
901,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1400 sqft,20000,kukatpally nh,155.55555555555554
902,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,890 sqft,8500,chanda nagar,98.88888888888889
903,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1525 sqft,7500,gajularamaram,169.44444444444446
904,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,2894 sqft,50000,p janardhan reddy nagar gachibowli outer ring road,321.55555555555554
905,2 BHK Apartment,1,Furnished,Bachelors/Family,1314 sqft,34000,nanakram guda,146.0
906,2 BHK Apartment,From Nov '19,Semi-Furnished,Bachelors/Family,1141 sqft,23000,kondapur,126.77777777777777
907,2 BHK Builder Floor,1,Unfurnished,Bachelors/Family,850 sqft,8500,murad nagar lal darwaza falaknuma road,94.44444444444444
909,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1050 sqft,12000,teja colony,116.66666666666667
913,2 BHK Apartment,2,Semi-Furnished,Family,1400 sqft,19000,suchitra circle,155.55555555555554
914,2 BHK Apartment,Same Premise,Semi-Furnished,Family,1115 sqft,15000,hyderabad,123.88888888888889
918,3 BHK Apartment,2,Semi-Furnished,Bachelors,1600 sqft,27000,aparna cyberzon nallagandla serilingampally,177.77777777777777
919,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2500 sqft,38000,hyderguda,277.77777777777777
921,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1600 sqft,35000,patrika nagar hitech city,177.77777777777777
922,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1150 sqft,13500,akshay homes nagole,127.77777777777777
923,2 BHK Builder Floor,2,Unfurnished,Bachelors/Family,1120 sqft,15000,moosarambagh nh,124.44444444444444
924,3 BHK Builder Floor,2,Unfurnished,Bachelors/Family,1458 sqft,10000,hayathnagar nh,162.0
925,2 BHK Apartment,2,Unfurnished,Bachelors,1230 sqft,15000,giridhari murari appa junction,136.66666666666666
926,1 BHK Apartment,1,Unfurnished,Bachelors,"Near silver oaks school, Krcr colony road number 1",9500,bachupally,0.1111111111111111
927,2 BHK Apartment,2,Unfurnished,Bachelors,1080 sqft,12000,dr as rao nagar,120.0
928,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,3000 sqft,49000,mount meru banjara hills nh,333.3333333333333
929,2 BHK Builder Floor,South,Semi-Furnished,Bachelors/Family,980 sqft,14000,durgabai deshmukh colony amberpet,108.88888888888889
930,3 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1350 sqft,20000,shaikpet,150.0
931,3 BHK Apartment,1,Semi-Furnished,Family,1436 sqft,23000,shanta sriram sonata new nallakunta,159.55555555555554
932,3 BHK Apartment,2,Semi-Furnished,Bachelors,1510 sqft,15000,ark homes bolarum medchal road,167.77777777777777
933,3 BHK Builder Floor,2,Semi-Furnished,Family,1800 sqft,23000,hyder nagar nh,200.0
934,3 BHK Apartment,West,Semi-Furnished,Family,2400 sqft,22000,osman nagar,266.6666666666667
935,3 BHK Apartment,3,Unfurnished,Bachelors,2000 sqft,40000,begumpet,222.22222222222223
936,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1440 sqft,22000,old malakpet nh,160.0
937,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1340 sqft,16500,aminpur,148.88888888888889
938,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,950 sqft,15000,gulshan colony qutub shahi tombs,105.55555555555556
939,3 BHK Apartment,North,Semi-Furnished,Family,2600 sqft,35000,stonehenge appa junction,288.8888888888889
941,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1900 sqft,20000,gulshan colony qutub shahi tombs,211.11111111111111
943,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1050 sqft,16000,attapur,116.66666666666667
944,2 BHK Builder Floor,North,Unfurnished,Bachelors,850 sqft,7500,nagaram,94.44444444444444
945,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2700 sqft,48000,lanco hills manikonda outer ring road,300.0
946,2 BHK Apartment,1,Unfurnished,Bachelors,850 sqft,11000,hydernagar,94.44444444444444
947,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1900 sqft,20000,nizampet,211.11111111111111
948,3 BHK Apartment,East,Unfurnished,Bachelors,1200 sqft,15000,new nallakunta,133.33333333333334
949,3 BHK Apartment,2,Semi-Furnished,Bachelors,1500 sqft,14000,janapriya arcadia alwal,166.66666666666666
950,2 BHK Apartment,1,Unfurnished,Bachelors/Family,750 sqft,12000,bachupally outer ring road,83.33333333333333
951,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1215 sqft,15000,aminpur,135.0
952,2 BHK Apartment,West,Unfurnished,Family,1245 sqft,15000,nsk bliss meadows madinaguda hafeezpet nh,138.33333333333334
953,4 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2311 sqft,45000,jains carlton creek gachibowli outer ring road,256.77777777777777
954,3 BHK Apartment,1,Unfurnished,Bachelors,2240 sqft,23000,tellapur outer ring road,248.88888888888889
955,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1350 sqft,14000,nizampet,150.0
956,3 BHK Apartment,2,Furnished,Bachelors/Family,1550 sqft,40000,narayanguda,172.22222222222223
957,2 BHK Apartment,2,Furnished,Bachelors,1300 sqft,25000,moti nagar,144.44444444444446
958,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2160 sqft,36000,sanath nagar nh,240.0
959,3 BHK Builder Floor,2,Unfurnished,Family,1630 sqft,16000,sv brindavanam boduppal nh,181.11111111111111
961,2 BHK Apartment,2,Unfurnished,Bachelors/Family,780 sqft,12500,kothapet,86.66666666666667
962,2 BHK Apartment,East,Unfurnished,Bachelors/Family,1500 sqft,10000,dr as rao nagar,166.66666666666666
963,3 BHK Builder Floor,East,Unfurnished,Bachelors/Family,1650 sqft,15000,miyapur nh,183.33333333333334
964,3 BHK Apartment,2,Semi-Furnished,Bachelors,1625 sqft,20500,mayflower heights mallapur,180.55555555555554
965,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1414 sqft,25000,rdb coconut grove miyapur nh,157.11111111111111
966,2 BHK Apartment,3,Semi-Furnished,Bachelors,1200 sqft,14500,suchitra circle,133.33333333333334
967,2 BHK Apartment,1,Unfurnished,Bachelors,1000 sqft,15000,langar house south hyderabad expressway,111.11111111111111
968,3 BHK Apartment,2,Unfurnished,Family,1335 sqft,32000,hitech city,148.33333333333334
970,2 BHK Apartment,Main Road,Furnished,Bachelors/Family,1200 sqft,32000,sk wonders kondapur,133.33333333333334
971,2 BHK Apartment,East,Semi-Furnished,Bachelors/Family,2200 sqft,13000,toli chowki,244.44444444444446
972,3 BHK Apartment,1,Unfurnished,Bachelors,1850 sqft,20000,nizampet,205.55555555555554
973,2 BHK Apartment,2,Semi-Furnished,Bachelors,1000 sqft,9500,vayupuri,111.11111111111111
974,3 BHK Apartment,East,Semi-Furnished,Bachelors,1650 sqft,35000,the legend himayath nagar nh,183.33333333333334
975,2 BHK Apartment,1,Unfurnished,Bachelors,1000 sqft,9000,saket secunderabad,111.11111111111111
976,3 BHK Builder Floor,Main Road,Semi-Furnished,Bachelors/Family,1800 sqft,16000,old malakpet nh,200.0
977,3 BHK Apartment,North,Semi-Furnished,Bachelors,1735 sqft,30000,keesara homes domalguda himayath nagar nh,192.77777777777777
978,3 BHK Apartment,2,Semi-Furnished,Bachelors,1500 sqft,16000,neknampur manikonda outer ring road,166.66666666666666
979,2 BHK Apartment,1,Furnished,Bachelors,1048 sqft,44000,golf edge gachibowli cuc outer ring road,116.44444444444444
980,3 BHK Apartment,2,Semi-Furnished,Family,2187 sqft,50000,jains ravi gayathri heights hitech city,243.0
981,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1600 sqft,22000,miyapur nh,177.77777777777777
982,2 BHK Builder Floor,1,Semi-Furnished,Bachelors,1000 sqft,14000,attapur,111.11111111111111
983,2 BHK Builder Floor,2,Unfurnished,Bachelors,100 sqyrd,15000,toli chowki,100.0
985,3 BHK Apartment,2,Semi-Furnished,Bachelors,1698 sqft,15000,upparpally hyderabad expressway,188.66666666666666
986,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1800 sqft,33000,ashok nagar himayath nagar,200.0
987,2 BHK Apartment,1,Semi-Furnished,Family,1250 sqft,12000,venkata sai enclave nizampet,138.88888888888889
989,4 BHK Apartment,3,Semi-Furnished,Bachelors,3000 sqft,40000,kokapet outer ring road,333.3333333333333
990,2 BHK Apartment,1,Unfurnished,Bachelors,1000 sqft,12000,old bowenpally,111.11111111111111
991,																																								2 BHK Apartment																									            	,1,Unfurnished,Bachelors,1000 sqft,16000,jawahar nagarchikkadpally,111.11111111111111
992,																																								2 BHK Builder Floor																									            	,1,Semi-Furnished,Bachelors/Family,1050 sqft,18000,kalyan nagar new malakpet nh,116.66666666666667
993,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors,1000 sqft,11000,hyder shah kote chevella road,111.11111111111111
994,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors,1350 sqft,12000,sun city bandlaguda chevella road,150.0
995,																																								3 BHK Builder Floor																									            	,2,Unfurnished,Bachelors/Family,1450 sqft,18000,kukatpally housing board colony nh,161.11111111111111
996,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Bachelors,1100 sqft,14000,toli chowki,122.22222222222223
998,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors,1755 sqft,29000,sri hemadurga sivahills  			            	 	                	 	                		 					            							          							         	puppalaguda,195.0
999,																																								2 BHK Apartment																									            	,2,Semi-Furnished,Bachelors/Family,1300 sqft,13000,ashok nagarramachandra puram nh,144.44444444444446
1002,																																								3 BHK Apartment																									            	,1,Unfurnished,Bachelors,1500 sqft,22000,hima shiva  			            	 	                	 	                		 					            							          							         	new nallakunta,166.66666666666666
1003,																																								3 BHK Apartment																									            	,3,Furnished,Bachelors/Family,2005 sqft,45000,shanthinikethan  			            	 	                	 	                		 					            							          							         	whitefields,222.77777777777777
1004,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors,1800 sqft,26000,chitrapuri colony  			            	 	                	 	                		 					            							          							         	manikonda outer ring road,200.0
1005,																																								3 BHK Apartment																									            	,4,Semi-Furnished,Bachelors/Family,1600 sqft,27000,barkatpura kachiguda nh,177.77777777777777
1006,																																								4 BHK Builder Floor																									            	,1,Semi-Furnished,Bachelors,2000 sqft,23000,aziz bagh colony toli chowki,222.22222222222223
1007,																																								3 BHK Apartment																									            	,2,Unfurnished,Bachelors,1650 sqft,18500,amulya fortune  			            	 	                	 	                		 					            							          							         	miyapur nh,183.33333333333334
1008,																																								2 BHK Apartment																									            	,2,Unfurnished,Bachelors,1000 sqft,20000,ravi colony,111.11111111111111
1009,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors,1453 sqft,17000,aakriti honey dew  			            	 	                	 	                		 					            							          							         	tellapur outer ring road,161.44444444444446
1012,																																								2 BHK Apartment																									            	,East,Unfurnished,Family,700 sqft,17000,nallagandla serilingampally,77.77777777777777
1013,																																								2 BHK Apartment																									            	,1,Unfurnished,Bachelors/Family,1000 sqft,18000,mehdipatnam,111.11111111111111
1014,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1400 sqft,16000,prajapati elite  			            	 	                	 	                		 					            							          							         	miyapur nh,155.55555555555554
1015,																																								2 BHK Apartment																									            	,2,Semi-Furnished,Bachelors,1125 sqft,15000,bandlaguda jagir,125.0
1016,																																								2 BHK Builder Floor																									            	,Main Road,Unfurnished,Bachelors/Family,950 sqft,10000,old malakpet nh,105.55555555555556
1017,																																								2 BHK Builder Floor																									            	,East,Unfurnished,Bachelors/Family,1100 sqft,8000,aminpur,122.22222222222223
1018,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Bachelors,1490 sqft,30000,aditya imperial heights  			            	 	                	 	                		 					            							          							         	hafeezpet nh,165.55555555555554
1019,																																								2 BHK Apartment																									            	,East,Furnished,Bachelors/Family,1200 sqft,27000,shreya elegance  			            	 	                	 	                		 					            							          							         	manikonda outer ring road,133.33333333333334
1020,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1200 sqft,10000,sun city bandlaguda chevella road,133.33333333333334
1022,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors/Family,2060 sqft,20000,gachibowli outer ring road,228.88888888888889
1023,																																								3 BHK Apartment																									            	,3,Unfurnished,Bachelors/Family,1250 sqft,13000,upparpally hyderabad expressway,138.88888888888889
1024,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,800 sqft,11000,nallagandla serilingampally,88.88888888888889
1025,																																								2 BHK Penthouse																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,800 sqft,10000,red hills lakdikapul nh,88.88888888888889
1027,																																								2 BHK Apartment																									            	,3,Unfurnished,Bachelors,1000 sqft,8000,chaitanyapuri kothapet,111.11111111111111
1028,																																								2 BHK Apartment																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,900 sqft,10000,kukatpally nh,100.0
1030,																																								3 BHK Builder Floor																									            	,4,Semi-Furnished,Bachelors/Family,1600 sqft,20000,banjara hills nh,177.77777777777777
1031,																																								3 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1715 sqft,21000,mehdipatnam,190.55555555555554
1032,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors/Family,2000 sqft,15000,tellapur outer ring road,222.22222222222223
1034,																																								2 BHK Penthouse																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1000 sqft,10000,kukatpally nh,111.11111111111111
1035,																																								2 BHK Apartment																									            	,Main Road,Unfurnished,Bachelors/Family,1200 sqft,15000,santosh nagarmehdipatnam,133.33333333333334
1036,																																								2 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1000 sqft,11000,malakpet nh,111.11111111111111
1037,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,1100 sqft,14500,madinaguda hafeezpet nh,122.22222222222223
1038,																																								2 BHK Builder Floor																									            	,2,Unfurnished,Bachelors/Family,1150 sqft,7500,karmanghat,127.77777777777777
1039,																																								3 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1550 sqft,26000,banjara hills nh,172.22222222222223
1041,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,100 sqyrd,8000,neknampur manikonda outer ring road,100.0
1042,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors/Family,1375 sqft,20000,manikonda outer ring road,152.77777777777777
1043,																																								2 BHK Apartment																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,1000 sqft,12000,nizampet,111.11111111111111
1044,																																								2 BHK Apartment																									            	,Garden/Park,Unfurnished,Bachelors,950 sqft,14000,kalyan nagarmoti nagar,105.55555555555556
1045,																																								2 BHK Builder Floor																									            	,1,Semi-Furnished,Bachelors/Family,1000 sqft,7500,kukatpally nh,111.11111111111111
1046,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,2100 sqft,27000,gachibowli outer ring road,233.33333333333334
1047,																																								2 BHK Builder Floor																									            	,2,Semi-Furnished,Bachelors/Family,1000 sqft,11000,moti nagar,111.11111111111111
1048,																																								2 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1100 sqft,18000,puppalaguda,122.22222222222223
1049,																																								2 BHK Apartment																									            	,2,Semi-Furnished,Family,1035 sqft,13500,pragathi nagar kukatpally,115.0
1051,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1300 sqft,13000,manikonda outer ring road,144.44444444444446
1052,																																								3 BHK Apartment																									            	,West,Semi-Furnished,Bachelors/Family,2800 sqft,40000,banjara hills nh,311.1111111111111
1053,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors,940 sqft,11000,janapriya utopia,104.44444444444444
1054,																																								3 BHK Apartment																									            	,East,Furnished,Family,1690 sqft,15000,chandanagar nh,187.77777777777777
1055,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,900 sqft,16000,ameerpet nh,100.0
1056,																																								3 BHK Apartment																									            	,3,Semi-Furnished,Bachelors,1500 sqft,15000,suchitra circle,166.66666666666666
1057,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1300 sqft,16000,banjara hills nh,144.44444444444446
1058,																																								2 BHK Apartment																									            	,1,Furnished,Bachelors/Family,750 sqft,15000,masab tank,83.33333333333333
1059,																																								3 BHK Apartment																									            	,3,Furnished,Bachelors/Family,1570 sqft,35000,venkata sai residency  			            	 	                	 	                		 					            							          							         	kondapur,174.44444444444446
1060,																																								2 BHK Builder Floor																									            	,1,Unfurnished,Bachelors/Family,1000 sqft,8500,dilsukh nagar nh,111.11111111111111
1061,																																								3 BHK Apartment																									            	,			            				            					            			Same Premise			            					            					            				            ,Semi-Furnished,Family,1700 sqft,27000,madhapur,188.88888888888889
1063,																																								3 BHK Apartment																									            	,1,Unfurnished,Bachelors,1400 sqft,18000,banjara hills nh,155.55555555555554
1064,																																								2 BHK Apartment																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,1000 sqft,15000,humayun nagar,111.11111111111111
1066,																																								3 BHK Builder Floor																									            	,1,Semi-Furnished,Bachelors,1800 sqft,20000,toli chowki,200.0
1067,																																								3 BHK Builder Floor																									            	,1,Semi-Furnished,Bachelors,2000 sqft,20000,puppalaguda,222.22222222222223
1068,																																								2 BHK Apartment																									            	,2,Semi-Furnished,Bachelors/Family,1100 sqft,20000,manikonda outer ring road,122.22222222222223
1069,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Bachelors,1200 sqft,9250,bowenpally,133.33333333333334
1070,																																								2 BHK Apartment																									            	,2,Unfurnished,Bachelors/Family,1200 sqft,14000,jaya nagar kukatpally nh,133.33333333333334
1071,																																								2 BHK Builder Floor																									            	,1,Unfurnished,Bachelors,1100 sqft,10000,sivaji nagarchandanagar,122.22222222222223
1072,																																								3 BHK Apartment																									            	,3,Semi-Furnished,Bachelors,1265 sqft,16000,armsburg my space  			            	 	                	 	                		 					            							          							         	kompally,140.55555555555554
1073,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors,1350 sqft,12000,sun city bandlaguda chevella road,150.0
1074,																																								2 BHK Apartment																									            	,East,Semi-Furnished,Bachelors/Family,1100 sqft,14000,kukatpally nh,122.22222222222223
1075,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors/Family,2000 sqft,18000,manikonda outer ring road,222.22222222222223
1076,																																								3 BHK Apartment																									            	,1,Unfurnished,Bachelors/Family,1650 sqft,16000,manikonda outer ring road,183.33333333333334
1077,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1430 sqft,7500,hydershakote bandlaguda chevella road,158.88888888888889
1078,																																								2 BHK Apartment																									            	,2,Unfurnished,Bachelors,1280 sqft,13500,bandari layout,142.22222222222223
1080,																																								3 BHK Apartment																									            	,1,Furnished,Bachelors/Family,1200 sqft,16000,amberpet,133.33333333333334
1081,2 BHK Builder Floor,1,Unfurnished,Bachelors,850 sqft,13000,kukatpally housing board colony nh,94.44444444444444
1082,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1400 sqft,22000,kondapur,155.55555555555554
1084,2 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1150 sqft,14500,humayun nagar,127.77777777777777
1085,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,900 sqft,20000,moti nagar,100.0
1086,3 BHK Apartment,1,Semi-Furnished,Bachelors,1400 sqft,22000,amrutha avenue manikonda outer ring road,155.55555555555554
1087,2 BHK Builder Floor,Main Road,Bachelors/Family,2,980 sqft,15500,narayanguda,108.88888888888889
1088,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,850 sqft,12000,moti nagar,94.44444444444444
1089,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,915 sqft,9000,neredmet,101.66666666666667
1090,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2600 sqft,30000,kondapur,288.8888888888889
1091,2 BHK Apartment,1,Unfurnished,Bachelors,1200 sqft,23000,domalguda himayath nagar nh,133.33333333333334
1092,2 BHK Penthouse,2,Semi-Furnished,Bachelors/Family,1200 sqft,8000,bachupally outer ring road,133.33333333333334
1093,2 BHK Apartment,4,Unfurnished,Bachelors/Family,1150 sqft,14000,kachiguda nh,127.77777777777777
1094,2 BHK Builder Floor,1,Unfurnished,Family,1000 sqft,11000,lb nagar nh,111.11111111111111
1095,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1855 sqft,35000,hitech city,206.11111111111111
1098,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,91 sqyrd,12000,miyapur nh,91.0
1099,2 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1314 sqft,28000,gachibowli outer ring road,146.0
1101,2 BHK Apartment,2,Furnished,Bachelors/Family,980 sqft,15000,madinaguda hafeezpet nh,108.88888888888889
1102,3 BHK Apartment,,Bachelors/Family,3,1700 sqft,20000,shaikpet,188.88888888888889
1103,2 BHK Apartment,1,Furnished,Bachelors/Family,1275 sqft,18000,kukatpally housing board colony nh,141.66666666666666
1106,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1050 sqft,9000,sri sai varshith residency beeramguda ramachandra puram nh,116.66666666666667
1107,2 BHK Apartment,4,Semi-Furnished,Bachelors/Family,1750 sqft,22000,q city,194.44444444444446
1108,2 BHK Apartment,1,Unfurnished,Family,970 sqft,15000,kphb road,107.77777777777777
1109,2 BHK Apartment,1 Covered,Bachelors/Family,2,1250 sqft,20000,kondapur,138.88888888888889
1111,3 BHK Apartment,1,Semi-Furnished,Bachelors,1300 sqft,13000,salar jung colony toli chowki,144.44444444444446
1112,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1260 sqft,16000,tarnaka,140.0
1113,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1080 sqft,13000,bandam kommu,120.0
1114,2 BHK Apartment,1,Furnished,Bachelors/Family,1150 sqft,15000,park stone attapur,127.77777777777777
1115,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1314 sqft,25000,narsingi outer ring road,146.0
1116,2 BHK Apartment,1,Unfurnished,Family,1000 sqft,16500,somajiguda nh,111.11111111111111
1117,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,925 sqft,5000,sai darshan hmt nagar secunderabad,102.77777777777777
1118,3 BHK Apartment,1,Semi-Furnished,Bachelors,1690 sqft,40000,my home vihanga gachibowli outer ring road,187.77777777777777
1119,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1035 sqft,20000,jains amrutha vengal rao nagar nh,115.0
1120,2 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1200 sqft,10000,sbc pristine place gajularamaram,133.33333333333334
1121,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1200 sqft,10000,uppal metro,133.33333333333334
1123,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1314 sqft,30000,gachibowli outer ring road,146.0
1124,3 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1380 sqft,35000,jains carlton creek gachibowli outer ring road,153.33333333333334
1125,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1125 sqft,21000,ramky one marvel kukatpally nh,125.0
1126,3 BHK Apartment,2,Furnished,Bachelors,1580 sqft,45000,green terraces whitefields,175.55555555555554
