Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality,Area_in_Gaj
434,3 BHK Apartment,2,Furnished,Bachelors/Family,1505 sqft,40000,aparna serene park kondapur,167.22222222222223
435,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1050 sqft,8000,bachupally outer ring road,116.66666666666667
437,3 BHK Apartment,3,Semi-Furnished,Family,1600 sqft,22000,advocates colony himayath nagar,177.77777777777777
438,2 BHK Apartment,2,Furnished,Bachelors/Family,1050 sqft,28000,police colonykondapur,116.66666666666667
439,3 BHK Apartment,2,Semi-Furnished,Family,1920 sqft,27000,hyder nagar nh,213.33333333333334
440,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1300 sqft,15000,gajularamaram,144.44444444444446
441,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1550 sqft,16000,madeenaguda,172.22222222222223
442,2 BHK Apartment,,Bachelors/Family,2,1275 sqft,20000,madinaguda hafeezpet nh,141.66666666666666
443,2 BHK Builder Floor,2,Furnished,Bachelors/Family,1200 sqft,30000,p janardhan reddy nagar gachibowli outer ring road,133.33333333333334
444,2 BHK Builder Floor,2,Furnished,Family,1200 sqft,28000,alkapur township manikonda outer ring road,133.33333333333334
445,3 BHK Apartment,2,Semi-Furnished,Bachelors,1525 sqft,23000,smr sowmya west marredpally,169.44444444444446
446,2 BHK Apartment,1,Furnished,Bachelors,1100 sqft,26000,toli chowki,122.22222222222223
447,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1500 sqft,15000,bommarillu homes madhura nagarnizampet,166.66666666666666
448,3 BHK Apartment,West,Semi-Furnished,Bachelors/Family,1800 sqft,17500,sapthagiri enclave bachupally outer ring road,200.0
449,3 BHK Apartment,2,Semi-Furnished,Family,1250 sqft,24000,malaysian township kukatpally nh,138.88888888888889
450,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1314 sqft,30000,narsingi outer ring road,146.0
451,4 BHK Apartment,2,Semi-Furnished,Bachelors,1850 sqft,38000,begumpet,205.55555555555554
452,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1314 sqft,30000,my home avatar narsingi outer ring road,146.0
453,3 BHK Apartment,2,Unfurnished,Family,1475 sqft,15000,sivaji nagarchandanagar,163.88888888888889
454,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1090 sqft,30000,lakdikapul nh,121.11111111111111
455,2 BHK Apartment,2,Unfurnished,Bachelors/Family,150 sqft,9000,uppal nh,16.666666666666668
456,3 BHK Apartment,East,Semi-Furnished,Bachelors,1400 sqft,25000,dundoo classic tower boiguda,155.55555555555554
457,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1365 sqft,15000,jai jawahar nagar secunderabad,151.66666666666666
458,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,970 sqft,12000,ashgoli,107.77777777777777
459,2 BHK Apartment,1,Unfurnished,Bachelors,1150 sqft,12000,adibatla,127.77777777777777
461,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1350 sqft,18000,toli chowki,150.0
462,2 BHK Apartment,1,Furnished,Bachelors/Family,900 sqft,16000,hafeezpet nh,100.0
463,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1550 sqft,19500,mayflower heights mallapur,172.22222222222223
464,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1100 sqft,9500,bandlaguda nagole srisailam highway,122.22222222222223
465,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1000 sqft,14000,gangaram chandanagar nh,111.11111111111111
466,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1870 sqft,42000,vajras jasmine county gachibowli outer ring road,207.77777777777777
467,3 BHK Apartment,3,Semi-Furnished,Bachelors,2535 sqft,30000,patels bright view yapral,281.6666666666667
468,3 BHK Apartment,North,Unfurnished,Bachelors,1500 sqft,27000,secunderabad rashtrapati road,166.66666666666666
